question,query
Get all rows from customers where name is greater than the average.,SELECT * FROM customers WHERE name > (SELECT AVG(name) FROM customers);
Show all name values from the employees table.,SELECT name FROM employees;
Show all course_id values from the grades table.,SELECT course_id FROM grades;
Show all id values from the customers table.,SELECT id FROM customers;
Show all id values from the products table.,SELECT id FROM products;
Show all total_amount values from the orders table.,SELECT total_amount FROM orders;
Get the id from orders along with matching name from customers.,"SELECT orders.id, customers.name FROM orders JOIN customers ON orders.id = customers.id;"
Show all order_id values from the payments table.,SELECT order_id FROM payments;
Show all id values from the products table.,SELECT id FROM products;
Show all id values from the courses table.,SELECT id FROM courses;
Show all name values from the departments table.,SELECT name FROM departments;
Get the order_id from payments along with matching title from courses.,"SELECT payments.order_id, courses.title FROM payments JOIN courses ON payments.id = courses.id;"
Get the id from courses along with matching category from products.,"SELECT courses.id, products.category FROM courses JOIN products ON courses.id = products.id;"
Get all rows from products where price is greater than the average.,SELECT * FROM products WHERE price > (SELECT AVG(price) FROM products);
Show all id values from the students table.,SELECT id FROM students;
Get all rows from students where enrollment_date is greater than the average.,SELECT * FROM students WHERE enrollment_date > (SELECT AVG(enrollment_date) FROM students);
Show all id values from the courses table.,SELECT id FROM courses;
Show all stock values from the products table.,SELECT stock FROM products;
Show all name values from the employees table.,SELECT name FROM employees;
Get the gpa from students along with matching signup_date from customers.,"SELECT students.gpa, customers.signup_date FROM students JOIN customers ON students.id = customers.id;"
Show all name values from the products table.,SELECT name FROM products;
Show all salary values from the employees table.,SELECT salary FROM employees;
Get the name from employees along with matching id from departments.,"SELECT employees.name, departments.id FROM employees JOIN departments ON employees.id = departments.id;"
Show all id values from the payments table.,SELECT id FROM payments;
Show all order_id values from the payments table.,SELECT order_id FROM payments;
Get the email from customers along with matching amount from payments.,"SELECT customers.email, payments.amount FROM customers JOIN payments ON customers.id = payments.id;"
Get all rows from products where category is greater than the average.,SELECT * FROM products WHERE category > (SELECT AVG(category) FROM products);
Show all title values from the courses table.,SELECT title FROM courses;
Show all department_id values from the employees table.,SELECT department_id FROM employees;
Get the stock from products along with matching order_date from orders.,"SELECT products.stock, orders.order_date FROM products JOIN orders ON products.id = orders.id;"
Show all id values from the products table.,SELECT id FROM products;
Show all credits values from the courses table.,SELECT credits FROM courses;
Get the total_amount from orders along with matching category from products.,"SELECT orders.total_amount, products.category FROM orders JOIN products ON orders.id = products.id;"
Get all rows from courses where department is greater than the average.,SELECT * FROM courses WHERE department > (SELECT AVG(department) FROM courses);
Get the id from orders along with matching id from employees.,"SELECT orders.id, employees.id FROM orders JOIN employees ON orders.id = employees.id;"
Show all id values from the employees table.,SELECT id FROM employees;
Show all name values from the employees table.,SELECT name FROM employees;
Show all grade values from the grades table.,SELECT grade FROM grades;
Get all rows from courses where id is greater than the average.,SELECT * FROM courses WHERE id > (SELECT AVG(id) FROM courses);
Get the id from departments along with matching total_amount from orders.,"SELECT departments.id, orders.total_amount FROM departments JOIN orders ON departments.id = orders.id;"
Show all student_id values from the grades table.,SELECT student_id FROM grades;
Get all rows from customers where name is greater than the average.,SELECT * FROM customers WHERE name > (SELECT AVG(name) FROM customers);
Show all student_id values from the grades table.,SELECT student_id FROM grades;
Show all id values from the products table.,SELECT id FROM products;
Get all rows from orders where customer_id is greater than the average.,SELECT * FROM orders WHERE customer_id > (SELECT AVG(customer_id) FROM orders);
Show all category values from the products table.,SELECT category FROM products;
Show all id values from the students table.,SELECT id FROM students;
Show all student_id values from the grades table.,SELECT student_id FROM grades;
Show all amount values from the payments table.,SELECT amount FROM payments;
Show all stock values from the products table.,SELECT stock FROM products;
Show all email values from the customers table.,SELECT email FROM customers;
Get the course_id from grades along with matching name from departments.,"SELECT grades.course_id, departments.name FROM grades JOIN departments ON grades.id = departments.id;"
Get the id from departments along with matching department_id from employees.,"SELECT departments.id, employees.department_id FROM departments JOIN employees ON departments.id = employees.id;"
Show all email values from the customers table.,SELECT email FROM customers;
Get the price from products along with matching order_date from orders.,"SELECT products.price, orders.order_date FROM products JOIN orders ON products.id = orders.id;"
Show all hire_date values from the employees table.,SELECT hire_date FROM employees;
Show all id values from the departments table.,SELECT id FROM departments;
Show all name values from the customers table.,SELECT name FROM customers;
Show all department values from the courses table.,SELECT department FROM courses;
Show all id values from the departments table.,SELECT id FROM departments;
Show all id values from the customers table.,SELECT id FROM customers;
Show all salary values from the employees table.,SELECT salary FROM employees;
Get the category from products along with matching title from courses.,"SELECT products.category, courses.title FROM products JOIN courses ON products.id = courses.id;"
Show all signup_date values from the customers table.,SELECT signup_date FROM customers;
Show all major values from the students table.,SELECT major FROM students;
Show all id values from the students table.,SELECT id FROM students;
Get all rows from products where price is greater than the average.,SELECT * FROM products WHERE price > (SELECT AVG(price) FROM products);
Show all department_id values from the employees table.,SELECT department_id FROM employees;
Get all rows from products where price is greater than the average.,SELECT * FROM products WHERE price > (SELECT AVG(price) FROM products);
Show all title values from the courses table.,SELECT title FROM courses;
Show all major values from the students table.,SELECT major FROM students;
Show all order_id values from the payments table.,SELECT order_id FROM payments;
Show all department values from the courses table.,SELECT department FROM courses;
Get all rows from payments where payment_method is greater than the average.,SELECT * FROM payments WHERE payment_method > (SELECT AVG(payment_method) FROM payments);
Get the department_id from employees along with matching id from courses.,"SELECT employees.department_id, courses.id FROM employees JOIN courses ON employees.id = courses.id;"
Show all payment_method values from the payments table.,SELECT payment_method FROM payments;
Show all name values from the customers table.,SELECT name FROM customers;
Show all name values from the employees table.,SELECT name FROM employees;
Show all salary values from the employees table.,SELECT salary FROM employees;
Show all id values from the products table.,SELECT id FROM products;
Show all name values from the customers table.,SELECT name FROM customers;
Get the course_id from grades along with matching payment_date from payments.,"SELECT grades.course_id, payments.payment_date FROM grades JOIN payments ON grades.id = payments.id;"
Get the location from departments along with matching name from students.,"SELECT departments.location, students.name FROM departments JOIN students ON departments.id = students.id;"
Show all id values from the orders table.,SELECT id FROM orders;
Get the name from students along with matching payment_date from payments.,"SELECT students.name, payments.payment_date FROM students JOIN payments ON students.id = payments.id;"
Get the major from students along with matching student_id from grades.,"SELECT students.major, grades.student_id FROM students JOIN grades ON students.id = grades.id;"
Show all salary values from the employees table.,SELECT salary FROM employees;
Show all title values from the courses table.,SELECT title FROM courses;
Show all gpa values from the students table.,SELECT gpa FROM students;
Show all name values from the employees table.,SELECT name FROM employees;
Show all gpa values from the students table.,SELECT gpa FROM students;
Show all grade values from the grades table.,SELECT grade FROM grades;
Show all id values from the products table.,SELECT id FROM products;
Get all rows from customers where email is greater than the average.,SELECT * FROM customers WHERE email > (SELECT AVG(email) FROM customers);
Show all name values from the products table.,SELECT name FROM products;
Show all name values from the customers table.,SELECT name FROM customers;
Show all hire_date values from the employees table.,SELECT hire_date FROM employees;
Show all name values from the customers table.,SELECT name FROM customers;
Show all id values from the courses table.,SELECT id FROM courses;
Show all location values from the departments table.,SELECT location FROM departments;
Show all name values from the students table.,SELECT name FROM students;
Show all student_id values from the grades table.,SELECT student_id FROM grades;
Show all id values from the courses table.,SELECT id FROM courses;
Get the credits from courses along with matching location from departments.,"SELECT courses.credits, departments.location FROM courses JOIN departments ON courses.id = departments.id;"
Show all name values from the customers table.,SELECT name FROM customers;
Show all location values from the departments table.,SELECT location FROM departments;
Show all stock values from the products table.,SELECT stock FROM products;
Get all rows from grades where student_id is greater than the average.,SELECT * FROM grades WHERE student_id > (SELECT AVG(student_id) FROM grades);
Get all rows from payments where amount is greater than the average.,SELECT * FROM payments WHERE amount > (SELECT AVG(amount) FROM payments);
Show all title values from the courses table.,SELECT title FROM courses;
Show all student_id values from the grades table.,SELECT student_id FROM grades;
Show all id values from the students table.,SELECT id FROM students;
Show all student_id values from the grades table.,SELECT student_id FROM grades;
Show all id values from the employees table.,SELECT id FROM employees;
Show all gpa values from the students table.,SELECT gpa FROM students;
Get all rows from departments where id is greater than the average.,SELECT * FROM departments WHERE id > (SELECT AVG(id) FROM departments);
Show all grade values from the grades table.,SELECT grade FROM grades;
Show all id values from the employees table.,SELECT id FROM employees;
Get the major from students along with matching payment_date from payments.,"SELECT students.major, payments.payment_date FROM students JOIN payments ON students.id = payments.id;"
Show all id values from the employees table.,SELECT id FROM employees;
Show all id values from the orders table.,SELECT id FROM orders;
Show all name values from the departments table.,SELECT name FROM departments;
Show all customer_id values from the orders table.,SELECT customer_id FROM orders;
Show all student_id values from the grades table.,SELECT student_id FROM grades;
Show all major values from the students table.,SELECT major FROM students;
Show all location values from the departments table.,SELECT location FROM departments;
Show all credits values from the courses table.,SELECT credits FROM courses;
Show all id values from the customers table.,SELECT id FROM customers;
Show all department_id values from the employees table.,SELECT department_id FROM employees;
Show all payment_method values from the payments table.,SELECT payment_method FROM payments;
Get all rows from grades where student_id is greater than the average.,SELECT * FROM grades WHERE student_id > (SELECT AVG(student_id) FROM grades);
Show all category values from the products table.,SELECT category FROM products;
Show all hire_date values from the employees table.,SELECT hire_date FROM employees;
Show all name values from the customers table.,SELECT name FROM customers;
Show all grade values from the grades table.,SELECT grade FROM grades;
Get the order_date from orders along with matching order_id from payments.,"SELECT orders.order_date, payments.order_id FROM orders JOIN payments ON orders.id = payments.id;"
Get the location from departments along with matching hire_date from employees.,"SELECT departments.location, employees.hire_date FROM departments JOIN employees ON departments.id = employees.id;"
Show all title values from the courses table.,SELECT title FROM courses;
Get all rows from courses where id is greater than the average.,SELECT * FROM courses WHERE id > (SELECT AVG(id) FROM courses);
Show all order_id values from the payments table.,SELECT order_id FROM payments;
Get the title from courses along with matching id from departments.,"SELECT courses.title, departments.id FROM courses JOIN departments ON courses.id = departments.id;"
Show all id values from the payments table.,SELECT id FROM payments;
Get all rows from products where name is greater than the average.,SELECT * FROM products WHERE name > (SELECT AVG(name) FROM products);
Show all salary values from the employees table.,SELECT salary FROM employees;
Get all rows from orders where id is greater than the average.,SELECT * FROM orders WHERE id > (SELECT AVG(id) FROM orders);
Show all gpa values from the students table.,SELECT gpa FROM students;
Get the customer_id from orders along with matching salary from employees.,"SELECT orders.customer_id, employees.salary FROM orders JOIN employees ON orders.id = employees.id;"
Show all id values from the departments table.,SELECT id FROM departments;
Get the amount from payments along with matching id from students.,"SELECT payments.amount, students.id FROM payments JOIN students ON payments.id = students.id;"
Show all enrollment_date values from the students table.,SELECT enrollment_date FROM students;
Show all id values from the products table.,SELECT id FROM products;
Show all id values from the orders table.,SELECT id FROM orders;
Show all department_id values from the employees table.,SELECT department_id FROM employees;
Show all name values from the students table.,SELECT name FROM students;
Get the hire_date from employees along with matching credits from courses.,"SELECT employees.hire_date, courses.credits FROM employees JOIN courses ON employees.id = courses.id;"
Get all rows from products where category is greater than the average.,SELECT * FROM products WHERE category > (SELECT AVG(category) FROM products);
Show all department values from the courses table.,SELECT department FROM courses;
Get the location from departments along with matching signup_date from customers.,"SELECT departments.location, customers.signup_date FROM departments JOIN customers ON departments.id = customers.id;"
Show all location values from the departments table.,SELECT location FROM departments;
Show all location values from the departments table.,SELECT location FROM departments;
Get the department_id from employees along with matching id from departments.,"SELECT employees.department_id, departments.id FROM employees JOIN departments ON employees.id = departments.id;"
Show all stock values from the products table.,SELECT stock FROM products;
Get all rows from students where id is greater than the average.,SELECT * FROM students WHERE id > (SELECT AVG(id) FROM students);
Show all gpa values from the students table.,SELECT gpa FROM students;
Show all id values from the departments table.,SELECT id FROM departments;
Get all rows from courses where title is greater than the average.,SELECT * FROM courses WHERE title > (SELECT AVG(title) FROM courses);
Get all rows from payments where order_id is greater than the average.,SELECT * FROM payments WHERE order_id > (SELECT AVG(order_id) FROM payments);
Show all course_id values from the grades table.,SELECT course_id FROM grades;
Show all order_date values from the orders table.,SELECT order_date FROM orders;
Show all credits values from the courses table.,SELECT credits FROM courses;
Show all total_amount values from the orders table.,SELECT total_amount FROM orders;
Show all total_amount values from the orders table.,SELECT total_amount FROM orders;
Get all rows from employees where salary is greater than the average.,SELECT * FROM employees WHERE salary > (SELECT AVG(salary) FROM employees);
Show all category values from the products table.,SELECT category FROM products;
Show all order_date values from the orders table.,SELECT order_date FROM orders;
Show all order_id values from the payments table.,SELECT order_id FROM payments;
Show all name values from the departments table.,SELECT name FROM departments;
Show all price values from the products table.,SELECT price FROM products;
Show all price values from the products table.,SELECT price FROM products;
Show all payment_date values from the payments table.,SELECT payment_date FROM payments;
Show all id values from the departments table.,SELECT id FROM departments;
Show all name values from the products table.,SELECT name FROM products;
Show all major values from the students table.,SELECT major FROM students;
Show all email values from the customers table.,SELECT email FROM customers;
Show all payment_method values from the payments table.,SELECT payment_method FROM payments;
Show all amount values from the payments table.,SELECT amount FROM payments;
Get all rows from courses where id is greater than the average.,SELECT * FROM courses WHERE id > (SELECT AVG(id) FROM courses);
Show all id values from the departments table.,SELECT id FROM departments;
Show all gpa values from the students table.,SELECT gpa FROM students;
Show all id values from the courses table.,SELECT id FROM courses;
Get all rows from orders where customer_id is greater than the average.,SELECT * FROM orders WHERE customer_id > (SELECT AVG(customer_id) FROM orders);
Show all credits values from the courses table.,SELECT credits FROM courses;
Show all email values from the customers table.,SELECT email FROM customers;
Show all price values from the products table.,SELECT price FROM products;
Show all name values from the students table.,SELECT name FROM students;
Show all id values from the orders table.,SELECT id FROM orders;
Show all id values from the departments table.,SELECT id FROM departments;
Get the department_id from employees along with matching department from courses.,"SELECT employees.department_id, courses.department FROM employees JOIN courses ON employees.id = courses.id;"
Show all signup_date values from the customers table.,SELECT signup_date FROM customers;
Show all id values from the departments table.,SELECT id FROM departments;
Show all email values from the customers table.,SELECT email FROM customers;
Get the student_id from grades along with matching major from students.,"SELECT grades.student_id, students.major FROM grades JOIN students ON grades.id = students.id;"
Show all amount values from the payments table.,SELECT amount FROM payments;
Get all rows from courses where title is greater than the average.,SELECT * FROM courses WHERE title > (SELECT AVG(title) FROM courses);
Show all stock values from the products table.,SELECT stock FROM products;
Show all major values from the students table.,SELECT major FROM students;
Show all location values from the departments table.,SELECT location FROM departments;
Show all enrollment_date values from the students table.,SELECT enrollment_date FROM students;
Get all rows from customers where signup_date is greater than the average.,SELECT * FROM customers WHERE signup_date > (SELECT AVG(signup_date) FROM customers);
Show all name values from the customers table.,SELECT name FROM customers;
Show all major values from the students table.,SELECT major FROM students;
Show all hire_date values from the employees table.,SELECT hire_date FROM employees;
Show all name values from the students table.,SELECT name FROM students;
Show all id values from the payments table.,SELECT id FROM payments;
Show all order_id values from the payments table.,SELECT order_id FROM payments;
Show all gpa values from the students table.,SELECT gpa FROM students;
Show all location values from the departments table.,SELECT location FROM departments;
Show all course_id values from the grades table.,SELECT course_id FROM grades;
Show all grade values from the grades table.,SELECT grade FROM grades;
Show all payment_method values from the payments table.,SELECT payment_method FROM payments;
Show all total_amount values from the orders table.,SELECT total_amount FROM orders;
Show all salary values from the employees table.,SELECT salary FROM employees;
Show all name values from the departments table.,SELECT name FROM departments;
Get the payment_method from payments along with matching major from students.,"SELECT payments.payment_method, students.major FROM payments JOIN students ON payments.id = students.id;"
Show all gpa values from the students table.,SELECT gpa FROM students;
Show all hire_date values from the employees table.,SELECT hire_date FROM employees;
Show all order_date values from the orders table.,SELECT order_date FROM orders;
Get all rows from orders where customer_id is greater than the average.,SELECT * FROM orders WHERE customer_id > (SELECT AVG(customer_id) FROM orders);
Get all rows from products where stock is greater than the average.,SELECT * FROM products WHERE stock > (SELECT AVG(stock) FROM products);
Show all department values from the courses table.,SELECT department FROM courses;
Show all name values from the products table.,SELECT name FROM products;
Show all major values from the students table.,SELECT major FROM students;
Show all course_id values from the grades table.,SELECT course_id FROM grades;
Show all price values from the products table.,SELECT price FROM products;
Show all location values from the departments table.,SELECT location FROM departments;
Get all rows from customers where name is greater than the average.,SELECT * FROM customers WHERE name > (SELECT AVG(name) FROM customers);
Show all location values from the departments table.,SELECT location FROM departments;
Show all id values from the courses table.,SELECT id FROM courses;
Show all total_amount values from the orders table.,SELECT total_amount FROM orders;
Show all signup_date values from the customers table.,SELECT signup_date FROM customers;
Get the title from courses along with matching location from departments.,"SELECT courses.title, departments.location FROM courses JOIN departments ON courses.id = departments.id;"
Show all payment_date values from the payments table.,SELECT payment_date FROM payments;
Get the id from products along with matching id from departments.,"SELECT products.id, departments.id FROM products JOIN departments ON products.id = departments.id;"
Show all grade values from the grades table.,SELECT grade FROM grades;
Show all category values from the products table.,SELECT category FROM products;
Show all id values from the customers table.,SELECT id FROM customers;
Get all rows from students where gpa is greater than the average.,SELECT * FROM students WHERE gpa > (SELECT AVG(gpa) FROM students);
Show all amount values from the payments table.,SELECT amount FROM payments;
Show all payment_method values from the payments table.,SELECT payment_method FROM payments;
Get the grade from grades along with matching name from products.,"SELECT grades.grade, products.name FROM grades JOIN products ON grades.id = products.id;"
Get the department from courses along with matching grade from grades.,"SELECT courses.department, grades.grade FROM courses JOIN grades ON courses.id = grades.id;"
Show all order_date values from the orders table.,SELECT order_date FROM orders;
Show all id values from the payments table.,SELECT id FROM payments;
Show all name values from the departments table.,SELECT name FROM departments;
Get all rows from customers where signup_date is greater than the average.,SELECT * FROM customers WHERE signup_date > (SELECT AVG(signup_date) FROM customers);
Show all student_id values from the grades table.,SELECT student_id FROM grades;
Show all name values from the students table.,SELECT name FROM students;
Show all enrollment_date values from the students table.,SELECT enrollment_date FROM students;
Get the category from products along with matching name from employees.,"SELECT products.category, employees.name FROM products JOIN employees ON products.id = employees.id;"
Show all order_id values from the payments table.,SELECT order_id FROM payments;
Show all payment_method values from the payments table.,SELECT payment_method FROM payments;
Show all grade values from the grades table.,SELECT grade FROM grades;
Show all payment_method values from the payments table.,SELECT payment_method FROM payments;
Show all order_id values from the payments table.,SELECT order_id FROM payments;
Show all department values from the courses table.,SELECT department FROM courses;
Show all id values from the students table.,SELECT id FROM students;
Show all payment_method values from the payments table.,SELECT payment_method FROM payments;
Show all id values from the orders table.,SELECT id FROM orders;
Show all grade values from the grades table.,SELECT grade FROM grades;
Show all name values from the employees table.,SELECT name FROM employees;
Get all rows from courses where id is greater than the average.,SELECT * FROM courses WHERE id > (SELECT AVG(id) FROM courses);
Show all title values from the courses table.,SELECT title FROM courses;
Show all student_id values from the grades table.,SELECT student_id FROM grades;
Show all id values from the students table.,SELECT id FROM students;
Show all gpa values from the students table.,SELECT gpa FROM students;
Show all id values from the employees table.,SELECT id FROM employees;
Show all id values from the orders table.,SELECT id FROM orders;
Get the name from products along with matching name from departments.,"SELECT products.name, departments.name FROM products JOIN departments ON products.id = departments.id;"
Show all hire_date values from the employees table.,SELECT hire_date FROM employees;
Get all rows from departments where id is greater than the average.,SELECT * FROM departments WHERE id > (SELECT AVG(id) FROM departments);
Show all stock values from the products table.,SELECT stock FROM products;
Show all id values from the products table.,SELECT id FROM products;
Show all location values from the departments table.,SELECT location FROM departments;
Show all hire_date values from the employees table.,SELECT hire_date FROM employees;
Get all rows from grades where course_id is greater than the average.,SELECT * FROM grades WHERE course_id > (SELECT AVG(course_id) FROM grades);
Get all rows from products where id is greater than the average.,SELECT * FROM products WHERE id > (SELECT AVG(id) FROM products);
Show all name values from the departments table.,SELECT name FROM departments;
Show all id values from the orders table.,SELECT id FROM orders;
Show all course_id values from the grades table.,SELECT course_id FROM grades;
Get all rows from students where major is greater than the average.,SELECT * FROM students WHERE major > (SELECT AVG(major) FROM students);
Show all id values from the courses table.,SELECT id FROM courses;
Show all order_id values from the payments table.,SELECT order_id FROM payments;
Get the name from students along with matching student_id from grades.,"SELECT students.name, grades.student_id FROM students JOIN grades ON students.id = grades.id;"
Show all title values from the courses table.,SELECT title FROM courses;
Show all id values from the students table.,SELECT id FROM students;
Get all rows from products where name is greater than the average.,SELECT * FROM products WHERE name > (SELECT AVG(name) FROM products);
Show all email values from the customers table.,SELECT email FROM customers;
Show all signup_date values from the customers table.,SELECT signup_date FROM customers;
Get all rows from payments where id is greater than the average.,SELECT * FROM payments WHERE id > (SELECT AVG(id) FROM payments);
Show all grade values from the grades table.,SELECT grade FROM grades;
Get the email from customers along with matching salary from employees.,"SELECT customers.email, employees.salary FROM customers JOIN employees ON customers.id = employees.id;"
Get all rows from employees where name is greater than the average.,SELECT * FROM employees WHERE name > (SELECT AVG(name) FROM employees);
Get all rows from departments where name is greater than the average.,SELECT * FROM departments WHERE name > (SELECT AVG(name) FROM departments);
Show all gpa values from the students table.,SELECT gpa FROM students;
Show all name values from the customers table.,SELECT name FROM customers;
Show all name values from the employees table.,SELECT name FROM employees;
Show all customer_id values from the orders table.,SELECT customer_id FROM orders;
Show all customer_id values from the orders table.,SELECT customer_id FROM orders;
Show all id values from the products table.,SELECT id FROM products;
Get the amount from payments along with matching department_id from employees.,"SELECT payments.amount, employees.department_id FROM payments JOIN employees ON payments.id = employees.id;"
Show all signup_date values from the customers table.,SELECT signup_date FROM customers;
Get the location from departments along with matching name from products.,"SELECT departments.location, products.name FROM departments JOIN products ON departments.id = products.id;"
Show all hire_date values from the employees table.,SELECT hire_date FROM employees;
Show all name values from the departments table.,SELECT name FROM departments;
Get the course_id from grades along with matching email from customers.,"SELECT grades.course_id, customers.email FROM grades JOIN customers ON grades.id = customers.id;"
Show all price values from the products table.,SELECT price FROM products;
Get all rows from students where name is greater than the average.,SELECT * FROM students WHERE name > (SELECT AVG(name) FROM students);
Show all order_date values from the orders table.,SELECT order_date FROM orders;
Show all id values from the products table.,SELECT id FROM products;
Show all major values from the students table.,SELECT major FROM students;
Get all rows from payments where order_id is greater than the average.,SELECT * FROM payments WHERE order_id > (SELECT AVG(order_id) FROM payments);
Get all rows from employees where department_id is greater than the average.,SELECT * FROM employees WHERE department_id > (SELECT AVG(department_id) FROM employees);
Show all hire_date values from the employees table.,SELECT hire_date FROM employees;
Get the customer_id from orders along with matching email from customers.,"SELECT orders.customer_id, customers.email FROM orders JOIN customers ON orders.id = customers.id;"
Show all enrollment_date values from the students table.,SELECT enrollment_date FROM students;
Show all name values from the departments table.,SELECT name FROM departments;
Get all rows from grades where course_id is greater than the average.,SELECT * FROM grades WHERE course_id > (SELECT AVG(course_id) FROM grades);
Show all name values from the products table.,SELECT name FROM products;
Show all order_id values from the payments table.,SELECT order_id FROM payments;
Show all name values from the students table.,SELECT name FROM students;
Show all name values from the departments table.,SELECT name FROM departments;
Get all rows from products where stock is greater than the average.,SELECT * FROM products WHERE stock > (SELECT AVG(stock) FROM products);
Show all name values from the departments table.,SELECT name FROM departments;
Show all name values from the employees table.,SELECT name FROM employees;
Show all department values from the courses table.,SELECT department FROM courses;
Show all id values from the courses table.,SELECT id FROM courses;
Show all course_id values from the grades table.,SELECT course_id FROM grades;
Show all major values from the students table.,SELECT major FROM students;
Show all name values from the departments table.,SELECT name FROM departments;
Get the student_id from grades along with matching id from departments.,"SELECT grades.student_id, departments.id FROM grades JOIN departments ON grades.id = departments.id;"
Get the id from departments along with matching payment_date from payments.,"SELECT departments.id, payments.payment_date FROM departments JOIN payments ON departments.id = payments.id;"
Show all id values from the customers table.,SELECT id FROM customers;
Get all rows from products where price is greater than the average.,SELECT * FROM products WHERE price > (SELECT AVG(price) FROM products);
Get the id from customers along with matching credits from courses.,"SELECT customers.id, courses.credits FROM customers JOIN courses ON customers.id = courses.id;"
Get all rows from orders where id is greater than the average.,SELECT * FROM orders WHERE id > (SELECT AVG(id) FROM orders);
Get the id from departments along with matching credits from courses.,"SELECT departments.id, courses.credits FROM departments JOIN courses ON departments.id = courses.id;"
Show all category values from the products table.,SELECT category FROM products;
Show all stock values from the products table.,SELECT stock FROM products;
Show all name values from the products table.,SELECT name FROM products;
Show all id values from the departments table.,SELECT id FROM departments;
Show all id values from the payments table.,SELECT id FROM payments;
Show all id values from the orders table.,SELECT id FROM orders;
Show all location values from the departments table.,SELECT location FROM departments;
Show all id values from the products table.,SELECT id FROM products;
Get the id from students along with matching id from orders.,"SELECT students.id, orders.id FROM students JOIN orders ON students.id = orders.id;"
Show all name values from the students table.,SELECT name FROM students;
Show all name values from the departments table.,SELECT name FROM departments;
Show all order_id values from the payments table.,SELECT order_id FROM payments;
Show all total_amount values from the orders table.,SELECT total_amount FROM orders;
Show all payment_date values from the payments table.,SELECT payment_date FROM payments;
Show all location values from the departments table.,SELECT location FROM departments;
Get the id from departments along with matching order_id from payments.,"SELECT departments.id, payments.order_id FROM departments JOIN payments ON departments.id = payments.id;"
Show all id values from the payments table.,SELECT id FROM payments;
Show all name values from the departments table.,SELECT name FROM departments;
Show all total_amount values from the orders table.,SELECT total_amount FROM orders;
Show all location values from the departments table.,SELECT location FROM departments;
Show all customer_id values from the orders table.,SELECT customer_id FROM orders;
Show all id values from the orders table.,SELECT id FROM orders;
Get all rows from departments where location is greater than the average.,SELECT * FROM departments WHERE location > (SELECT AVG(location) FROM departments);
Show all major values from the students table.,SELECT major FROM students;
Show all id values from the courses table.,SELECT id FROM courses;
Get all rows from payments where payment_method is greater than the average.,SELECT * FROM payments WHERE payment_method > (SELECT AVG(payment_method) FROM payments);
Get all rows from products where name is greater than the average.,SELECT * FROM products WHERE name > (SELECT AVG(name) FROM products);
Get all rows from departments where name is greater than the average.,SELECT * FROM departments WHERE name > (SELECT AVG(name) FROM departments);
Get the category from products along with matching id from courses.,"SELECT products.category, courses.id FROM products JOIN courses ON products.id = courses.id;"
Get all rows from courses where id is greater than the average.,SELECT * FROM courses WHERE id > (SELECT AVG(id) FROM courses);
Get all rows from courses where title is greater than the average.,SELECT * FROM courses WHERE title > (SELECT AVG(title) FROM courses);
Get the hire_date from employees along with matching order_id from payments.,"SELECT employees.hire_date, payments.order_id FROM employees JOIN payments ON employees.id = payments.id;"
Get all rows from grades where student_id is greater than the average.,SELECT * FROM grades WHERE student_id > (SELECT AVG(student_id) FROM grades);
Show all email values from the customers table.,SELECT email FROM customers;
Get the name from departments along with matching title from courses.,"SELECT departments.name, courses.title FROM departments JOIN courses ON departments.id = courses.id;"
Get the grade from grades along with matching gpa from students.,"SELECT grades.grade, students.gpa FROM grades JOIN students ON grades.id = students.id;"
Show all id values from the departments table.,SELECT id FROM departments;
Get the price from products along with matching payment_date from payments.,"SELECT products.price, payments.payment_date FROM products JOIN payments ON products.id = payments.id;"
Show all id values from the orders table.,SELECT id FROM orders;
Get all rows from grades where student_id is greater than the average.,SELECT * FROM grades WHERE student_id > (SELECT AVG(student_id) FROM grades);
Show all stock values from the products table.,SELECT stock FROM products;
Get the id from departments along with matching id from courses.,"SELECT departments.id, courses.id FROM departments JOIN courses ON departments.id = courses.id;"
Get all rows from orders where total_amount is greater than the average.,SELECT * FROM orders WHERE total_amount > (SELECT AVG(total_amount) FROM orders);
Show all category values from the products table.,SELECT category FROM products;
Show all amount values from the payments table.,SELECT amount FROM payments;
Get the id from products along with matching name from customers.,"SELECT products.id, customers.name FROM products JOIN customers ON products.id = customers.id;"
Show all customer_id values from the orders table.,SELECT customer_id FROM orders;
Show all id values from the customers table.,SELECT id FROM customers;
Show all id values from the courses table.,SELECT id FROM courses;
Show all id values from the courses table.,SELECT id FROM courses;
Show all course_id values from the grades table.,SELECT course_id FROM grades;
Get all rows from customers where email is greater than the average.,SELECT * FROM customers WHERE email > (SELECT AVG(email) FROM customers);
Show all name values from the students table.,SELECT name FROM students;
Show all grade values from the grades table.,SELECT grade FROM grades;
Get the price from products along with matching payment_date from payments.,"SELECT products.price, payments.payment_date FROM products JOIN payments ON products.id = payments.id;"
Show all customer_id values from the orders table.,SELECT customer_id FROM orders;
Get the title from courses along with matching name from customers.,"SELECT courses.title, customers.name FROM courses JOIN customers ON courses.id = customers.id;"
Show all student_id values from the grades table.,SELECT student_id FROM grades;
Show all credits values from the courses table.,SELECT credits FROM courses;
Show all payment_date values from the payments table.,SELECT payment_date FROM payments;
Get the student_id from grades along with matching email from customers.,"SELECT grades.student_id, customers.email FROM grades JOIN customers ON grades.id = customers.id;"
Get the id from orders along with matching id from customers.,"SELECT orders.id, customers.id FROM orders JOIN customers ON orders.id = customers.id;"
